2024-06-12 15:26:09.232 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X12sZmlsZQ%3D%3D
2024-06-12 15:26:09.385 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X13sZmlsZQ%3D%3D
2024-06-12 15:26:09.535 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:09.693 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X15sZmlsZQ%3D%3D
2024-06-12 15:26:09.847 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X16sZmlsZQ%3D%3D
2024-06-12 15:26:09.965 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X20sZmlsZQ%3D%3D
2024-06-12 15:26:10.305 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X22sZmlsZQ%3D%3D
2024-06-12 15:26:10.949 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X23sZmlsZQ%3D%3D
2024-06-12 15:26:11.232 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X25sZmlsZQ%3D%3D
2024-06-12 15:26:11.395 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X26sZmlsZQ%3D%3D
2024-06-12 15:26:11.550 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X30sZmlsZQ%3D%3D
2024-06-12 15:26:11.692 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X31sZmlsZQ%3D%3D
2024-06-12 15:26:11.847 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X20sZmlsZQ%3D%3D
2024-06-12 15:26:11.851 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X32sZmlsZQ%3D%3D
2024-06-12 15:26:30.699 [info] /home/j/dsc/prj/logistic regression sonar/rockormine.ipynb closed
2024-06-12 15:26:30.699 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X26sZmlsZQ%3D%3D
2024-06-12 15:26:31.784 [info] /home/j/dsc/prj/logistic regression sonar/rockormine.ipynb closed
2024-06-12 15:26:31.784 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X30sZmlsZQ%3D%3D
2024-06-12 15:26:32.369 [info] /home/j/dsc/prj/logistic regression sonar/rockormine.ipynb closed
